Area,Record_Count,Mean_Change,Median_Change,Std_Deviation,Min_Change,Max_Change,Skewness,Range,Coefficient_of_Variation,Region,Climate_Risk_Score,Risk_Category,Cluster,Country,Temp_Volatility_Ratio,Extreme_Event_Indicator,Trend_Acceleration,Region_Factor,Advanced_Impact_Score,Analysis_Date
Western Sahara,187,1.6377,1.627,0.7819,-0.519,3.624,-0.0547,4.143,0.4774378701837944,Other/Islands,0.7715149324681486,High,0,Western Sahara,0.47714651858180274,0,0.024835707650561634,1.0,0.5023228725669416,2025-08-03T19:02:30.646628
Tunisia,187,1.6365,1.644,1.0744,-2.57,4.653,-0.2807,7.222999999999999,0.656523067522151,North Africa,0.9957730192406716,Very High,2,Tunisia,0.6561221374045801,1,-0.006913215058559233,1.3,0.5505358079750792,2025-08-03T19:02:30.646628
Sudan (former),17,1.6309,1.375,0.6606,0.77,2.912,0.6656,2.142,0.4050524250413881,Other/Islands,0.6497281132574,High,0,Sudan (former),0.4048042159446045,0,0.032384426905034625,1.0,0.49026708989607193,2025-08-03T19:02:30.646628
Morocco,187,1.6094,1.59,1.0587,-2.484,4.414,-0.2871,6.898,0.6578227911022742,North Africa,0.9664488757968188,Very High,2,Morocco,0.657414307004471,1,0.07615149282040128,1.3,0.6588527976639948,2025-08-03T19:02:30.646628
Algeria,187,1.5037,1.616,1.0716,-2.765,3.988,-0.6706,6.753,0.7126421493649,North Africa,0.9211703633603724,Very High,2,Algeria,0.7121685385791189,1,-0.011707668736166799,1.3,0.5409186426311865,2025-08-03T19:02:30.646628
Mauritania,187,1.4676,1.498,0.8158,-1.308,3.574,-0.2948,4.882,0.555873535023167,West Africa,0.7383209058202801,High,0,Mauritania,0.555495029279586,1,-0.011706847847459028,1.2,0.48015091936413556,2025-08-03T19:02:30.646628
Cabo Verde,146,1.4532,1.527,0.6323,-0.326,3.184,-0.3307,3.51,0.4351087255711532,West Africa,0.6110147097456562,High,0,Cabo Verde,0.43480951726034933,0,0.07896064077536957,1.2,0.5492014318237366,2025-08-03T19:02:30.646628
Lesotho,187,1.4442,1.357,0.6806,-1.129,3.966,0.076,5.095000000000001,0.471264367816092,Southern Africa,0.6824498160634427,High,0,Lesotho,0.47093827843897046,1,0.03837173645764544,1.1,0.4895984761833931,2025-08-03T19:02:30.646628
"Ascension, Saint Helena and Tristan da Cunha",187,1.3918,1.353,0.4375,0.306,2.64,0.3893,2.334,0.31434114096853,Other/Islands,0.4660818427061662,Moderate,1,"Ascension, Saint Helena and Tristan da Cunha",0.31411545089029297,0,-0.023473719296747606,1.0,0.3919305959316883,2025-08-03T19:02:30.646628
Djibouti,149,1.3885,1.361,0.7098,-0.258,4.227,0.4255,4.485,0.5111991357580122,East Africa,0.6485180180284826,High,0,Djibouti,0.510831234256927,0,0.027128002179298234,1.1,0.46719855144780864,2025-08-03T19:02:30.646628
Senegal,187,1.3574,1.317,0.604,-0.497,3.304,0.1726,3.801,0.4449683217916605,West Africa,0.56915774566372,Moderate,0,Senegal,0.44464075382803303,0,-0.023170884640623113,1.2,0.4431361424823365,2025-08-03T19:02:30.646628
Gambia,187,1.3006,1.22,0.5664,-0.31,3.396,0.4397,3.706,0.4354913117022913,West Africa,0.5266283750992065,Moderate,0,Gambia,0.43515673017824225,0,-0.023286487678512845,1.2,0.42675760815828884,2025-08-03T19:02:30.646628
Somalia,186,1.2983,1.3575,0.6552,-0.364,3.376,-0.0564,3.74,0.5046599399214358,East Africa,0.5619301234631786,Moderate,0,Somalia,0.50427153082429,0,0.012098113578301706,1.1,0.41343302419879796,2025-08-03T19:02:30.646628
Burundi,20,1.2666,1.154,0.5305,0.48,2.262,0.4097,1.782,0.4188378335701879,East Africa,0.4296693638922162,Moderate,1,Burundi,0.41850741558851373,0,-0.0956640122328899,1.1,0.5066005591563716,2025-08-03T19:02:30.646628
Rwanda,20,1.2543,1.163,0.4973,0.674,2.257,0.693,1.5830000000000002,0.3964761221398389,East Africa,0.4042334003574237,Moderate,1,Rwanda,0.39616028041105716,0,-0.08624589162565165,1.1,0.48840608334689073,2025-08-03T19:02:30.646628
Côte d'Ivoire,187,1.2302,1.24,0.3776,0.143,2.066,-0.2313,1.923,0.3069419606568038,West Africa,0.3586895569544159,Low,1,Côte d'Ivoire,0.3066926575698506,0,-0.028114376462048635,1.2,0.3832012708936473,2025-08-03T19:02:30.646628
Egypt,187,1.2133,1.275,1.0332,-1.733,4.203,-0.0538,5.936,0.8515618560949475,North Africa,0.752756351789364,High,4,Egypt,0.8508605781108457,1,-0.05064155601672119,1.3,0.5588112099393295,2025-08-03T19:02:30.646628
Guinea-Bissau,187,1.1994,1.176,0.4841,0.003,2.708,0.384,2.705,0.4036184759046189,West Africa,0.4153123247081059,Moderate,1,Guinea-Bissau,0.40328223925358214,0,0.015712366629763694,1.2,0.37861219941694685,2025-08-03T19:02:30.646628
Malawi,180,1.1921,1.198,0.6896,-1.029,3.758,-0.0605,4.787,0.5784749601543495,Southern Africa,0.5672006942911209,Moderate,0,Malawi,0.5779901097980052,1,-0.04540120377606055,1.1,0.4644279900866243,2025-08-03T19:02:30.646628
Liberia,187,1.1898,1.223,0.3595,0.176,2.312,-0.0621,2.136,0.3021516221213649,West Africa,0.3418037667687548,Low,1,Liberia,0.30189788377561305,0,-0.07061518506676458,1.2,0.43973205130847237,2025-08-03T19:02:30.646628
